time;trimestre;Abonnés;interpolation
1;Q1 '09;37;
2;Q2 '09;42;
3;Q3 '09;48;
4;Q4 '09;55;
5;Q1 '10;64;
6;Q2 '10;78;
7;Q3 '10;81;
8;Q4 '10;90;
9;Q1 '11;102;
10;Q2 '11;116;
11;Q3 '11;131;
12;Q4 '11;145;
13;Q1 '12;161;
14;Q2 '12;174;
15;Q3 '12;187;
16;Q4 '12;202;
17;Q1 '13;218;
18;Q2 '13;238;
19;Q3 '13;259;
20;Q4 '13;277;
21;Q1 '14;296;
22;Q2 '14;313;
23;Q3 '14;332;
24;Q4 '14;347;
25;Q1 '15;364;
26;Q2 '15;380;
27;Q3 '15;396;
28;Q4 '15;414;
29;Q1 '16;433;
30;Q2 '16;;
31;Q3 '16;; 
32;Q4 '16;; 
33;Q1 '17;480;
34;Q2 '17;;
35;Q3 '17;;
36;Q4 '17;;
37;Q1 '18;548;
38;Q2 '18;;
39;Q3 '18;;
40;Q4 '18;;
41;Q1 '19;590;
42;Q2 '19;;
43;Q3 '19;;
44;Q4 '19;;
45;Q1 '20;675;
46;Q2 '20;;
47;Q3 '20;;
48;Q4 '20;;
49;Q1 '21;740;
50;Q2 '21;;
51;Q3 '21;;
52;Q4 '21;;
53;Q1 '22;822;
54;Q2 '22;;
55;Q3 '22;;
56;Q4 '22;;
